,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
0,HNRG,29,12/12/2012,01/30/2020,3.0689655172413794,0.04,0.0,1,2012,12
1,DAX,0,,,0.0,0.0,0.0,0,,0
2,ONCS,0,,,0.0,0.0,0.0,0,,0
3,AGLE,0,,,0.0,0.0,0.0,0,,0
4,UBOH,38,06/05/2013,05/27/2022,2.8947368421052633,0.21,100.0,1,2013,23
5,BSCS,0,,,0.0,0.0,0.0,0,,0
6,BBLG,0,,,0.0,0.0,0.0,0,,0
7,MICT,0,,,0.0,0.0,0.0,0,,0
8,CMCT,96,12/29/1999,06/16/2022,2.84375,0.085,55850.0,3,1999,28
9,XERS,0,,,0.0,0.0,0.0,0,,0
10,LARK,99,10/30/1997,05/10/2022,3.01010101010101,0.21,100.0,3,1997,28
11,AOSL,0,,,0.0,0.0,0.0,0,,0
12,PEBO,43,11/03/2011,05/06/2022,3.0,0.38,18.181818181818187,1,2011,29
13,KRON,0,,,0.0,0.0,0.0,0,,0
14,EGLX,0,,,0.0,0.0,0.0,0,,0
15,ETACU,0,,,0.0,0.0,0.0,0,,0
16,BFC,15,12/20/2018,06/21/2022,2.8,0.22,138.0952380952381,1,2018,4
17,LFAC,0,,,0.0,0.0,0.0,0,,0
18,HEAR,0,,,0.0,0.0,0.0,0,,0
19,CSF,0,,,0.0,0.0,0.0,0,,0
20,MGEE,135,11/25/1988,05/31/2022,2.977777777777778,0.3875,4.964539007092199,4,1988,34
21,MNST,0,,,0.0,0.0,0.0,0,,0
22,PEZ,0,,,0.0,0.0,0.0,0,,0
23,RBB,13,05/01/2019,04/29/2022,2.923076923076923,0.14,50.0,1,2019,5
24,ITAQ,0,,,0.0,0.0,0.0,0,,0
25,EXPO,38,03/06/2013,06/09/2022,2.9210526315789473,0.24,66.66666666666669,1,2013,9
26,GLYC,0,,,0.0,0.0,0.0,0,,0
27,NRIX,0,,,0.0,0.0,0.0,0,,0
28,CFIV,0,,,0.0,0.0,0.0,0,,0
29,FARM,91,10/17/1988,01/26/2011,2.934065934065934,0.06,20.0,3,1988,34
30,HYMCL,0,,,0.0,0.0,0.0,0,,0
