,Unnamed: 0,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years,exchange,industry,sector,share_volume,trade_volume,market_cap,low_today,high_today,low_52,high_52,previous_close,_pe,_yield,_eps,_annualized_dividend
0,0,CHSCL,30,03/13/2015,06/16/2022,2.9,0.46875,26.76044911734164,1,2015,7,NASDAQ-GS,Consumer Staples,Tobacco,29570.0,0.0,0.0,26.5,26.0,30.28,25.59,26.2,0.0,7.16,0.0,1.875
1,1,RGCO,117,04/11/1994,07/14/2022,2.8974358974358974,0.195,1425.4237288135594,3,1994,28,NASDAQ-GM,Utilities,Oil & Gas Production,3972.0,11960.0,191031000.0,19.85,19.3,26.02,18.01,20.33,0.0,3.84,-2.39,0.78
2,2,PLBC,8,07/30/2020,04/29/2022,3.0,0.16,16.666666666666686,1,2020,23,NASDAQ-CM,Finance,Finance Companies,12903.0,17357.0,159104000.0,28.26,26.48,41.3,27.39,27.76,7.04,2.31,3.87,0.64
3,3,GREEL,1,04/13/2022,04/13/2022,0.0,0.53125,0.0,0,2022,0,NASDAQ-GS,Finance,Investment Bankers/Brokers/Service,6729.0,0.0,0.0,14.38,13.7,25.43,13.9,14.0,0.0,15.18,0.0,2.125
4,4,CASS,13,06/03/2019,06/02/2022,3.0,0.28,3.84615384615384,1,2019,26,NASDAQ-GS,Consumer Discretionary,Business Services,57060.0,55779.0,469383000.0,34.47,33.42,46.26,31.84,34.25,16.29,3.27,2.11,1.12
5,5,CGABL,6,07/29/2021,10/31/2022,2.5,0.2890625,0.0,0,2021,1,NASDAQ-GS,,,11087.0,0.0,0.0,18.42,18.2,26.65,17.6,18.39,0.0,6.29,0.0,1.1563
6,6,PVBC,8,07/29/2020,05/12/2022,3.125,0.04,33.33333333333334,1,2020,3,NASDAQ-CM,Finance,Major Banks,41701.0,36478.0,278926000.0,15.47,15.27,20.14,14.6,15.66,15.32,1.02,1.01,0.16
7,7,TANNZ,18,06/28/2018,09/29/2022,3.0,0.5,0.0,1,2018,0,NASDAQ-GS,Energy,Food Chains,881.0,0.0,995545000.0,25.17,25.09,26.8,24.87,25.0699,0.0,7.98,0.0,2.0
8,8,HLNE,21,06/22/2017,06/14/2022,2.857142857142857,0.4,29.411764705882376,1,2017,5,NASDAQ-GS,Finance,Investment Managers,181614.0,230447.0,3741000000.0,70.32,66.0,116.0,61.38,68.06,17.65,2.35,3.98,1.6
9,9,EMKR,1,08/01/2016,08/01/2016,0.0,1.5,0.0,0,2016,6,NASDAQ-GM,Technology,Semiconductors,382215.0,542703.0,116315000.0,3.12,2.94,9.71,2.95,3.09,6.46,0.0,0.48,0.0
10,10,OPINL,9,11/12/2020,11/14/2022,2.6666666666666665,0.3984375,0.0,1,2020,0,NASDAQ-GM,Real Estate,Building operators,6768.0,0.0,0.0,24.1,23.97,28.54,22.56,24.15,0.0,6.6,0.0,1.5938
11,11,BJRI,10,11/10/2017,03/09/2020,2.8,0.13,9.090909090909092,1,2017,5,NASDAQ-GS,Consumer Discretionary,Restaurants,448794.0,331639.0,535347000.0,22.97,21.25,49.35,21.44,22.09,761.33,0.0,0.03,0.0
12,12,ALGT,22,03/02/2015,02/28/2020,2.8181818181818183,0.7,450.0,1,2015,12,NASDAQ-GS,Consumer Discretionary,Air Freight/Delivery Services,195909.0,257039.0,2128000000.0,117.84,111.03,215.48,109.82,115.41,15.02,0.0,7.82,0.0
13,13,IRMD,1,02/16/2022,02/16/2022,0.0,1.0,0.0,0,2022,0,NASDAQ-CM,Health Care,Medical/Dental Instruments,33600.0,55726.0,414632000.0,33.43,32.5,55.92,28.67,33.51,39.77,0.0,0.83,0.0
14,14,SQFT,7,11/20/2020,06/09/2022,2.7142857142857144,0.106,1.0000000000000142,1,2020,2,NASDAQ-CM,Real Estate,Real Estate Investment Trusts,22738.0,62888.0,38453000.0,3.16,2.99,5.63,2.77,3.16,0.0,13.42,-0.5,0.424
15,15,SSRM,6,03/04/2021,05/12/2022,2.333333333333333,0.07,40.0,0,2021,1,NASDAQ-GS,,,5087573.0,2665688.0,3471000000.0,17.3,15.85,24.58,14.19,17.35,11.59,1.61,1.39,0.28
16,16,CSPI,5,02/27/2019,02/27/2020,2.6,0.15,0.0,1,2019,22,NASDAQ-GM,Technology,EDP Services,4205.0,8105.0,39711000.0,8.93,8.56,11.12,6.61,8.95,292.0,0.0,0.03,0.0
17,17,NEWT,30,06/25/2015,06/16/2022,2.9,0.75,438.0,1,2015,13,NASDAQ-GM,Finance,Finance/Investors Services,113781.0,202787.0,479839000.0,19.87,19.04,36.41,17.65,19.52,7.22,15.37,2.75,3.0
18,18,HWBK,2,12/14/2021,03/14/2022,3.0,0.15,0.0,0,2021,22,NASDAQ-GS,Finance,Major Banks,8123.0,5471.0,173343000.0,25.97,24.87,26.4,20.92,25.55,7.57,2.66,3.38,0.68
19,19,KOSS,52,09/26/2001,03/27/2014,2.8846153846153846,0.06,769.230769230769,2,2001,21,NASDAQ-CM,Consumer Staples,Consumer Electronics/Appliances,24879.0,83365.0,62022000.0,6.85,6.58,22.92,5.0,6.7,56.5,0.0,0.12,0.0
